,,,Energy Consumption by Sector,,,,Socio-economic factors (local),,,,Energy use,,,Global trends,,,Trilemma index (national),,,,,,,,
Years,Production (TJ),Consumption (TJ),Transportation (TJ),Industry (TJ),Residential (TJ),Commercial (TJ),Degree of Urbanisation,Population growth,Population density (%),GDP(billion USD),Installed capacity % of renewable energies,Reserves (TJ),Imports,Population growth (%),GDP (Trillion USD),Natural gas prices ($/MBtu),Energy Security (%),Energy Equity (%),Environmental Sustainability (%),,,,,,
1973,2400,2400,28400,42900,27200,23000,36.3,2.08,24.4,6.242,620,-1,0,1.98,4.642,0.21215,-1,-1,-1,,,,,,
1974,2800,2800,28400,49800,28400,24300,37,2.12,25.47,7.675,620,-1,0,1.93,5.35,0.289296,-1,-1,-1,,,,,,
1975,2500,2500,30500,46100,29800,26000,37.6,2.18,26.05,8.985,620,-1,0,1.86,5.96,0.424301,-1,-1,-1,,,,,,
1976,2800,2800,31900,50400,31800,27700,38.3,2.24,26.65,9.584,620,-1,0,1.8,6.479,0.559306,-1,-1,-1,,,,,,
1977,3000,3000,35700,56500,34100,30000,39,2.29,27.28,11.05,620,-1,0,1.75,7.328,0.761813,-1,-1,-1,,,,,,
1978,2900,2900,36500,60900,36400,31100,39.7,2.33,27.93,13.24,620,-1,0,1.75,8.631,0.877531,-1,-1,-1,,,,,,
1979,2600,2600,40500,67500,38600,32700,40.4,2.37,28.61,15.91,620,-1,0,1.76,10.025,1.137898,-1,-1,-1,,,,,,
1980,2300,2300,36400,71800,38700,33500,41.1,2.39,29.31,21.73,620,26250,0,1.75,11.301,1.533269,-1,-1,-1,,,,,,
1981,3000,3000,35900,64700,39000,34000,41.9,2.42,30.03,17.79,620,111300,0,1.76,11.692,1.909354,-1,-1,-1,,,,,,
1982,2800,2800,38700,64200,41500,35000,42.6,2.43,30.77,17.69,620,111300,0,1.8,11.575,2.372228,-1,-1,-1,,,,,,
1983,2900,2900,37500,67400,43500,36000,43.4,2.41,31.49,16.25,620,148050,0,1.78,11.803,2.497589,-1,-1,-1,,,,,,
1984,2900,2900,36100,67500,44700,36700,44.1,2.33,32.2,14.82,620,148050,0,1.75,12.234,2.565092,-1,-1,-1,,,,,,
1985,3300,3300,36600,72600,46700,37900,44.9,2.23,32.89,14.99,620,148050,0,1.75,12.867,2.420444,-1,-1,-1,,,,,,
1986,3200,3200,38800,68600,23100,38900,45.7,2.12,33.56,19.46,620,148050,0,1.77,15.214,1.870781,-1,-1,-1,,,,,,
1987,2600,2600,40700,61400,23700,39600,46.4,2.01,34.21,21.77,620,136500,0,1.78,17.317,1.610415,-1,-1,-1,,,,,,
1988,2700,2700,42700,74800,24200,33000,47.2,1.93,34.86,25.71,620,73500,0,1.77,19.339,1.629701,-1,-1,-1,,,,,,
1989,2000,2000,48500,86700,24800,33900,47.9,1.87,35.51,26.31,620,105000,0,1.74,20.136,1.696666667,-1,-1,-1,,,,,,
1990,1800,1800,54400,82100,26600,37800,48.6,1.84,36.15,30.18,620,105000,0,1.74,22.699,1.638333333,-1,-1,-1,,,,,,
1991,1200,1200,60300,87000,27400,39400,49.4,1.81,36.8,32.29,620,55650,0,1.67,23.68,1.486666667,-1,-1,-1,,,,,,
1992,800,800,66900,92000,28300,42100,50,1.77,37.44,33.71,620,45150,0,1.57,25.383,1.771666667,-1,-1,-1,,,,,,
1993,700,700,72300,81100,29400,44700,50.7,1.71,38.05,31.66,620,38850,0,1.56,25.82,2.120833333,-1,-1,-1,,,,,,
1994,700,700,78000,89600,30100,46600,51.3,1.63,38.64,35.6,620,33600,0,1.52,27.874,1.92,-1,-1,-1,,,,,,
1995,500,500,82600,80100,30600,47700,51.7,1.53,39.19,39.03,620,55650,0,1.51,31.043,1.686666667,-1,-1,-1,,,,,,
1996,600,600,88100,88600,31300,48400,52,1.43,39.72,43.16,1221,42000,0,1.45,31.736,2.756666667,-1,-1,-1,,,,,,
1997,1100,1100,94100,88500,32000,49300,52.3,1.35,40.23,39.15,1221,42000,0,1.43,31.62,2.525,-1,-1,-1,,,,,,
1998,1200,1200,100000,90900,32900,51400,52.6,1.27,40.73,41.81,1221,52500,0,1.39,31.54,2.084166667,-1,-1,-1,,,,,,
1999,1400,1400,106700,92900,31900,51800,53,1.22,41.21,41.63,1221,52500,0,1.35,32.734,2.265833333,-1,-1,-1,,,,,,
2000,1600,1600,112300,93000,32400,52500,53.3,1.18,41.69,38.86,1221,51450,0,1.32,33.816,4.225833333,100,100,100,,,,,,
2001,1600,1600,118600,91300,34000,57500,53.7,1.15,42.16,39.46,1221,49350,0,1.3,33.609,4.068333333,93.57,100.18,101.72,,,,,,
2002,1500,1500,124200,89200,34600,58400,54.1,1.12,42.63,42.24,1221,49350,0,1.28,34.884,3.330833333,93.65,100.12,99.26,,,,,,
2003,1500,1500,129400,77400,35400,60500,54.6,1.11,43.1,52.06,1319,45150,0,1.26,39.129,5.625,91.97,95.48,98.43,,,,,,
2004,2100,2100,134000,90200,55500,82500,55,1.11,43.59,59.63,1552,45150,0,1.25,44.096,5.849166667,93.85,93.85,96.06,,,,,,
2005,1400,1400,139500,104300,53700,83000,55.5,1.12,44.09,62.34,1783,45150,14300,1.25,47.774,8.785833333,97,96.52,95.64,,,,,,
2006,2100,2100,143700,113400,51700,81700,55.9,1.14,44.6,68.64,1783,63000,17700,1.24,51.769,6.764166667,102.77,96.99,98.71,,,,,,
2007,2200,2200,152800,114600,49800,80900,56.4,1.16,45.14,79.04,1843,60900,20700,1.24,58.321,6.95,97.18,97.88,98.37,,,,,,
2008,1800,1800,167400,114400,50200,82300,56.9,1.19,45.7,92.51,1843,57750,18000,1.24,64.014,8.849166667,97.39,98.76,101.32,,,,,,
2009,1500,1500,177200,114900,47300,83500,57.5,1.24,46.29,92.9,1970,55650,20300,1.22,60.73,3.893333333,94.22,98.99,100.22,,,,,,
2010,1900,1900,186400,122200,47000,84200,58,1.29,46.92,93.22,1991,55650,22000,1.2,66.488,4.388849427,93.7,99.47,97.53,,,,,,
2011,2100,2100,197300,135500,48300,87800,58.5,1.35,47.58,101.04,2025,53550,28100,1.17,73.654,4.009032567,97.85,112.28,100.52,,,,,,
2012,2800,2800,200300,140500,49800,91200,59.1,1.39,48.26,98.27,2025,53550,41900,1.18,75.312,2.755371572,100.69,121.55,101.31,,,,,,
2013,3500,1900,208100,138700,50300,93700,59.7,1.42,48.94,106.8,2265,53550,33900,1.18,77.44,3.707290005,93.29,121.33,97.54,,,,,,
2014,3500,3500,210800,128700,51100,95800,60.3,1.4,49.61,110.1,2567,53550,38600,1.18,79.558,4.34774155,88.49,121.82,95.68,,,,,,
2015,2800,2800,224000,126000,51200,98400,60.8,1.37,50.28,101.2,2728,53550,39700,1.17,75.112,2.603666809,110.11,122.69,101.16,,,,,,
2016,2600,2600,233900,120800,51900,101800,61.3,1.33,50.93,103.3,2798,53550,40700,1.16,76.305,2.461838903,109.87,121.99,100.13,,,,,,
2017,2600,2600,241900,136500,53900,105100,61.9,1.29,51.57,109.7,2948,53550,40300,1.14,81.193,2.960584088,113.51,121.42,102.35,,,,,,
2018,2800,2800,248600,136200,54200,105500,62.4,1.25,52.2,118.1,3681,-1,35900,1.11,86.268,3.116445668,113.15,130.98,102.23,,,,,,
2019,3100,3100,260000,134700,55800,108800,62.9,1.22,,119.7,3681,-1,33500,1.07,87.568,2.511899725,115.69,151.65,99.43,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
